,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
221,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
222,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
223,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
224,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
225,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
226,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
227,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
228,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
229,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
230,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
231,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
232,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
233,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
234,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
235,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
236,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
237,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
238,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
239,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
240,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
241,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
242,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
243,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
244,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
245,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
246,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
247,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
248,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
249,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
250,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
251,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
252,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
253,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
254,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
255,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
256,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
257,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
258,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
259,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
260,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
261,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
262,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
263,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
264,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
265,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
266,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
267,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
268,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
269,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
270,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
271,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
272,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
273,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
274,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
275,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
276,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
277,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
278,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
279,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
280,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
281,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
282,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
283,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
284,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
285,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
286,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
287,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
288,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
289,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
290,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
291,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
292,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
293,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
294,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
295,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
296,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
297,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
298,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
299,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
300,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
301,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
302,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
303,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
304,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
305,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
306,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
307,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
308,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
309,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
310,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
311,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
312,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
313,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
314,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
315,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
316,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
317,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
318,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
319,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
320,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
321,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
322,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
323,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
324,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
325,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
326,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
327,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
328,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
329,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
330,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
331,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
332,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
